
salon,0c:ef:15:6a:93:cb:,-79,MIWIFI_2G_NfQk_EXT,5500000
salon,86:aa:9c:2c:d8:91:,-49,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-49,MOVISTAR_D888,5320000
salon,e0:0e:e4:d8:f3:99:,-77,LowiF394-5G,5560000
salon,a0:18:42:26:1b:ec:,-78,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-40,MOVISTAR_PLUS_D888,5320000
salon,a6:ea:bc:69:af:d9:,-81,MOVISTAR_JAIME,5280000
salon,b0:ea:bc:69:af:d9:,-81,MOVISTAR_PLUS_JAIME,5280000
salon,d4:b9:2f:31:b0:c8:,-78,VIRUSTOTAL,5180000
salon,86:aa:9c:2c:d8:91:,-51,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-51,MOVISTAR_D888,5320000
salon,e4:bf:fa:72:83:80:,-77,vodafoneAAEJTR,5560000
salon,e0:0e:e4:d8:f3:99:,-76,LowiF394-5G,5560000
salon,a0:18:42:26:1b:ec:,-77,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-42,MOVISTAR_PLUS_D888,5320000
salon,86:aa:9c:2c:d8:91:,-54,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-54,MOVISTAR_D888,5320000
salon,e0:0e:e4:d8:f3:99:,-76,LowiF394-5G,5560000
salon,e4:bf:fa:72:83:80:,-77,vodafoneAAEJTR,5560000
salon,86:97:d1:79:d2:35:,-81,MOVISTAR_D22C,5560000
salon,98:97:d1:79:d2:35:,-81,MOVISTAR_PLUS_D22C,5560000
salon,a0:18:42:26:1b:ec:,-78,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-46,MOVISTAR_PLUS_D888,5320000
salon,86:aa:9c:2c:d8:91:,-54,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-54,MOVISTAR_D888,5320000
salon,e4:bf:fa:72:83:80:,-79,vodafoneAAEJTR,5560000
salon,a0:18:42:26:1b:ec:,-78,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-48,MOVISTAR_PLUS_D888,5320000
salon,a6:ea:bc:69:af:d9:,-81,MOVISTAR_JAIME,5280000
salon,b0:ea:bc:69:af:d9:,-81,MOVISTAR_PLUS_JAIME,5280000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,e0:0e:e4:d8:f3:99:,-76,LowiF394-5G,5560000
salon,a0:18:42:26:1b:ec:,-77,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-50,MOVISTAR_PLUS_D888,5320000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,e0:0e:e4:d8:f3:99:,-76,LowiF394-5G,5560000
salon,e4:bf:fa:72:83:80:,-79,vodafoneAAEJTR,5560000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,84:aa:9c:2c:d8:91:,-49,MOVISTAR_PLUS_D888,5320000
salon,a6:ea:bc:69:af:d9:,-81,MOVISTAR_JAIME,5280000
salon,b0:ea:bc:69:af:d9:,-80,MOVISTAR_PLUS_JAIME,5280000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,86:aa:9c:2c:d8:91:,-55,MOVISTAR_D888,5320000
salon,e0:0e:e4:d8:f3:99:,-77,LowiF394-5G,5560000
salon,a0:18:42:26:1b:ec:,-78,MIWIFI_namL,5500000
salon,84:aa:9c:2c:d8:91:,-48,MOVISTAR_PLUS_D888,5320000
salon,a6:ea:bc:69:af:d9:,-80,MOVISTAR_JAIME,5280000
